Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,55680,2084,110.0,679.8436656168038,0.46695900164195336,26201.677167002345,4732.965732758621,81.88284570931117,3.064724325757983,110,160,190,200,240,280,7100,26000,26000,26000,26000
GET,//addplayerurl,56043,2184,110.0,696.8412965749237,0.5478330022015143,26193.202457998268,7270.191370911622,82.41667245127381,3.2117840342876365,110,160,190,200,240,280,20000,26000,26000,26000,26000
GET,//deleteplayerurl,55312,2165,110.0,671.1227067199583,0.5563329978031106,26166.69954200188,8609.291293028638,81.34166598192205,3.1838426896670025,110,160,190,200,240,280,7100,26000,26000,26000,26000
GET,//playersreporturl,55729,2164,110.0,702.59750268931,0.5027500010328367,26146.481000003405,6869.476484415654,81.9549049664907,3.182372092581706,110,160,190,200,240,280,20000,26000,26000,26000,26000
GET,//searchplayerurl,55559,2196,110.0,712.2173946955919,0.469915998110082,26163.31583400097,7393.732320596123,81.7049034619903,3.229431199311195,110,160,190,200,240,280,20000,26000,26000,26000,26000
GET,//updateplayerurl,55514,2200,110.0,685.795730383649,0.47570799870300107,26165.205458000855,9416.431350650286,81.63872659315194,3.235313587652381,110,160,190,200,240,280,7200,26000,26000,26000,26000
,Aggregated,333837,12993,110.0,691.4282056074325,0.46695900164195336,26201.677167002345,7379.449210243322,490.93971916414,19.107467929257904,110,160,190,200,240,280,13000,26000,26000,26000,26000
